folder,file,sha256,n_points,duration_min,sample_interval_sec,y_min,y_max,spike_points,noise_sigma_median,baseline_change,positive_candidates,negative_candidates,broad_candidates,spike_candidates,screened_positive,screened_negative,noise_ratio_vs_reference,high_noise_flag
5-电信号干扰类型,1211122026-1-5_14_13_40.CSV,747b19fe682e2eab4b01b95092ecb833396b4b0de3ae50acda8e8881b1bbe743,6001,10.0,0.1000000000001755,0.0,863.23999,0,0.0005758762785187236,18.775966861704056,43,46,8,0,4,2,0.7222252241899023,False
5-电信号干扰类型,2026-1-5_14_13_40.CSV,f9a6cbc69a84a55060e30fe5b2a9d99177f736918b42af87b984cb615ab5aa23,5941,9.9,0.1000000000001755,-1.573906,293.649994,0,0.00024125660527304286,-1.5725394091927372,41,34,8,0,5,3,0.3025677777157355,False
5-电信号干扰类型,H1-信号干扰向上谱图.CSV,a57ba69be43575b3f0dd7b771ff8422beac975c774f6672ad90796ef8a8d55aa,6001,10.0,0.1000000000001755,-2652.52002,120.660004,60,0.10623953112581197,532.1690083958863,27,36,8,0,7,20,133.238461189151,True
5-电信号干扰类型,H2-信号干扰向下干扰.CSV,d22180feb47e7ee5a558e1be4f954a968a102abc5d3baf76235bcc7435f7a0c1,6001,10.0,0.1000000000001755,-1.78,110.639999,6,0.0008539825572847705,0.051580745543092166,34,29,11,0,9,12,1.0710073793553667,False
5-电信号干扰类型,H3-C2H2位置受干扰-峰比较对称.CSV,332d5fa256f933934109cc08fdffa578a3b10030c30456c330c29c934a8b20ca,6001,10.0,0.1000000000001755,-0.07,682.890015,0,0.0007923584462437223,0.025972165742632954,58,44,11,0,5,2,0.9937225717112586,False
1-基准谱图类型,2-819机型-基准2#标气.CSV,3897da10afc06ee730ca90774e59b706911a65cabf4dee0eab40930fd0d3841f,6000,9.99833333333333,0.1000000000001755,-0.675436,114.982712,0,0.0007500762688801002,-0.344181347793805,90,92,7,27,6,3,0.9406951139659464,False
1-基准谱图类型,3-819机型-基准3#标气.CSV,30fae5e4a14045271ebf39b706864084bac8e70ba23b902cc269738d91025385,6000,9.99833333333333,0.1000000000001755,-0.657288,189.701401,0,0.0008426441936478978,-0.5615804084271661,91,91,9,21,6,3,1.0567875676960803,False
1-基准谱图类型,4-819机型-基准4#标气.CSV,e76f205d8284e8b996339dd00f5578c65243b2cd346c70e39e298011c2852fff,6000,9.99833333333333,0.1000000000001755,-1.147774,320.517578,0,0.0007973638405729545,-1.0036178299998135,89,94,7,20,6,3,1.0,False
1-基准谱图类型,5-819机型-基准5#标气.CSV,a54e11b8b6c0cc6f099edcbc2332f182d0eaa4144b1c7a6c90f1ecf35be4e69b,6000,9.99833333333333,0.1000000000001755,0.0,1504.256714,0,0.0008370692312955719,2.0182269635098384,90,77,9,18,6,3,1.0497958255720332,False
1-基准谱图类型,6-819机型-基准6#标气.CSV,ccb88eb46308a67d35d7252e4f7f6fba9cdac45e88cf6bedb19aa70d82932aa8,6000,9.99833333333333,0.1000000000001755,-0.030443,1150.540161,3,0.0007638314963341132,0.25457915782107293,84,93,12,12,6,3,0.9579459933689164,False
2-鼓包谱图类型,A1-C2H2鼓包.CSV,22d6f1a49fae7304336befc8dd0e742a3d32ad00566d17ab5d11edc7afbdc1bd,6001,10.0,0.1000000000001755,-2.42,140.419998,4,0.0006850015142108181,5.496098101083959,41,66,6,0,1,1,0.8590827415983684,False
2-鼓包谱图类型,A10-CH4赶在鼓包上.CSV,4aff20874b5e38909dd8ce7e78a2bc9da0f6c5db216bbce28f21435c3c0bc0ac,6000,9.99833333333333,0.1000000000001755,-0.784788,21.884314,3,0.000550312131368946,-0.6678849027376115,111,111,9,18,5,2,0.6901643934261091,False
2-鼓包谱图类型,A11-通道2CH4赶上鼓包.CSV,06db2bffb6aea28447b602ab6f8ae12b124d69e7c3affe23e8c9db5b57b533cb,6000,9.99833333333333,0.1000000000001755,-5.583011,163.336472,3,0.000969292756441068,-0.969597589139159,63,74,9,42,6,3,1.2156216611786308,False
2-鼓包谱图类型,A12-C2H2赶上鼓包.CSV,8b90ced79d05fe796c8ab10ea9ce4f2cb842a57a5249b2b487a35b170ea18737,5941,9.9,0.1000000000001755,-0.869414,189.949997,0,0.00045079398929887866,-0.6206149071187588,49,49,8,0,4,3,0.565355445482649,False
2-鼓包谱图类型,A14-双8#柱通道1赶上鼓包.CSV,21e850c79d77df768b46169addc5ba36846a001c7980f536af4db748314acba2,3221,5.36666666666667,0.1000000000001755,-14.78,3.38,0,0.0001914742469530885,4.394277389741056,16,28,2,0,4,7,0.24013409840042732,False
2-鼓包谱图类型,A2-C2H6赶在鼓包干扰.CSV,38dfa9af9638fefc6cd951f6ae4f47cdec39f80006f97fcf9a60c875ce9a0895,6001,10.0,0.1000000000001755,0.0,118.529999,11,8.153534983562915e-05,4.25307346930043,30,43,12,2,3,1,0.102256141659297,False
2-鼓包谱图类型,A3-鼓包干扰.CSV,746dba372db2d7cb85dbab418de6f2ca097ff3f9651cd1347f2793d69547c9e4,6001,10.0,0.1000000000001755,-1.32,8.93,17,0.00015752913380930937,0.6631138364286846,36,58,12,0,2,3,0.1975624248224187,False
2-鼓包谱图类型,A4-CO2赶上鼓包.CSV,3ba42b724c1cde4506bec966d7fb107137f245c0b0b9ae9310fdb6c8551dcc87,6000,9.99833333333333,0.1000000000001755,-0.011881,7.210548,0,0.0004042910308729616,0.7535694267335894,57,107,9,24,4,2,0.5070345685383149,False
2-鼓包谱图类型,A5-鼓包干扰.CSV,a19298aac5e0604387b534fbdd1a069215f416f03a53b700e8b7f726f36c2df8,6000,9.99833333333333,0.1000000000001755,-2.573493,5.451005,0,0.00042452545103921176,-1.9364985976281248,47,76,10,17,5,4,0.5324112148528887,False
2-鼓包谱图类型,A7-小鼓包干扰.CSV,cf3957533ed55d4e6e71a85df248b0f50942de6611541d16641242d2cd93ebef,6001,10.0,0.1000000000001755,-0.88,10.52,20,0.0002623358547822929,-0.8778565338356757,63,63,10,0,3,4,0.3290039520650806,False
2-鼓包谱图类型,A8-C2H2赶上鼓包.CSV,335644a38a5e7469885e7c79b7c628fa3d69354b138e6e048197199b7d769e7c,5921,9.86666666666667,0.1000000000001755,-1.46,184.110001,3,0.0003657914084161499,7.788929820559465,41,57,10,1,1,1,0.4587509362768526,False
2-鼓包谱图类型,A9-C2H4赶上鼓包.CSV,b1d50ea218f509f3057d2e10104d1fdaf53ccc4d9617b85909e6819033a981f8,6000,9.99833333333333,0.1000000000001755,-0.144917,23.006618,0,0.0006125632284406198,17.988999385391544,81,128,7,45,4,5,0.7682355247015664,False
3-噪音谱图类型,B1-噪音干扰1.CSV,2135e8cecbca875234fab48f9175979e242b7125e1d08b8d0fc140658e9eaa5e,6001,10.0,0.1000000000001755,0.0,91.129997,6,0.0029758153833495853,8.384515907198923,65,71,10,0,6,4,3.7320671341345006,True
