folder,file,sha256,confirmed_peaks,review_features,artifacts,negative_peaks,electrical_features,broad_features,global_noise_fraction,noise_ratio_vs_reference,high_noise_flag,baseline_drift,baseline_drift_fraction_of_range,baseline_drift_flag
5-电信号干扰类型,1211122026-1-5_14_13_40.CSV,747b19fe682e2eab4b01b95092ecb833396b4b0de3ae50acda8e8881b1bbe743,2,3,0,0,0,0,2.2582802821415954e-06,0.8572985318529301,False,16.069282056447005,0.01861508067582342,False
5-电信号干扰类型,2026-1-5_14_13_40.CSV,f9a6cbc69a84a55060e30fe5b2a9d99177f736918b42af87b984cb615ab5aa23,4,7,0,1,0,2,5.31761088703816e-06,2.0186953951082383,False,-1.35023798221521,0.00457360661591155,False
5-电信号干扰类型,H1-信号干扰向上谱图.CSV,a57ba69be43575b3f0dd7b771ff8422beac975c774f6672ad90796ef8a8d55aa,4,23,7,6,7,6,3.812194337689256e-05,14.472023843469644,False,-1951.2872011872462,0.7036280314657446,True
5-电信号干扰类型,H2-信号干扰向下干扰.CSV,d22180feb47e7ee5a558e1be4f954a968a102abc5d3baf76235bcc7435f7a0c1,2,9,2,5,2,5,4.883441153712993e-06,1.853873925471324,False,-0.01841220980537615,0.00016378055478701926,False
5-电信号干扰类型,H3-C2H2位置受干扰-峰比较对称.CSV,332d5fa256f933934109cc08fdffa578a3b10030c30456c330c29c934a8b20ca,3,4,1,0,1,1,1.4071629310526187e-06,0.5341935296557828,False,0.025637777240597227,3.7539206802022265e-05,False
1-基准谱图类型,2-819机型-基准2#标气.CSV,3897da10afc06ee730ca90774e59b706911a65cabf4dee0eab40930fd0d3841f,6,1,0,0,0,2,6.672131954367122e-06,2.532904783361744,False,-1.182776175583919,0.010226483788966765,False
1-基准谱图类型,3-819机型-基准3#标气.CSV,30fae5e4a14045271ebf39b706864084bac8e70ba23b902cc269738d91025385,6,3,0,2,0,0,4.5806058282769165e-06,1.7389102152788287,False,-1.4710907868746972,0.00772799389721946,False
1-基准谱图类型,4-819机型-基准4#标气.CSV,e76f205d8284e8b996339dd00f5578c65243b2cd346c70e39e298011c2852fff,6,1,0,1,0,0,2.634181907742966e-06,1.0,False,-2.2010681566651122,0.006842726899181582,False
1-基准谱图类型,5-819机型-基准5#标气.CSV,a54e11b8b6c0cc6f099edcbc2332f182d0eaa4144b1c7a6c90f1ecf35be4e69b,6,0,0,0,0,0,1e-06,0.3796245039344399,False,-1.796538652861012,0.0011943032303866532,False
1-基准谱图类型,6-819机型-基准6#标气.CSV,ccb88eb46308a67d35d7252e4f7f6fba9cdac45e88cf6bedb19aa70d82932aa8,6,4,0,2,0,0,1e-06,0.3796245039344399,False,-4.030262409317175,0.003502837979091264,False
2-鼓包谱图类型,A1-C2H2鼓包.CSV,22d6f1a49fae7304336befc8dd0e742a3d32ad00566d17ab5d11edc7afbdc1bd,2,2,0,0,0,1,4.905165631602714e-06,1.862121069613444,False,5.408117943868524,0.037861369501479024,False
2-鼓包谱图类型,A10-CH4赶在鼓包上.CSV,4aff20874b5e38909dd8ce7e78a2bc9da0f6c5db216bbce28f21435c3c0bc0ac,3,5,1,0,1,3,2.579399172117206e-05,9.792031311638993,False,-0.6673987237335908,0.029440898176451402,False
2-鼓包谱图类型,A11-通道2CH4赶上鼓包.CSV,06db2bffb6aea28447b602ab6f8ae12b124d69e7c3affe23e8c9db5b57b533cb,3,8,0,2,0,1,5.96968625404058e-06,2.2662391828344,False,-5.325796720895525,0.03152861130231807,False
2-鼓包谱图类型,A12-C2H2赶上鼓包.CSV,8b90ced79d05fe796c8ab10ea9ce4f2cb842a57a5249b2b487a35b170ea18737,3,2,0,0,0,1,2.6315223807444437e-06,0.9989903783824857,False,-0.8685616951444598,0.004551747071184806,False
2-鼓包谱图类型,A14-双8#柱通道1赶上鼓包.CSV,21e850c79d77df768b46169addc5ba36846a001c7980f536af4db748314acba2,1,10,0,3,0,0,7.748736075368781e-05,29.416100887307724,True,-12.82530382355234,0.7062391973321773,True
2-鼓包谱图类型,A2-C2H6赶在鼓包干扰.CSV,38dfa9af9638fefc6cd951f6ae4f47cdec39f80006f97fcf9a60c875ce9a0895,2,1,2,0,2,0,1.863960260911732e-06,0.7076049894021255,False,4.194757696673649,0.03538983997353825,False
2-鼓包谱图类型,A3-鼓包干扰.CSV,746dba372db2d7cb85dbab418de6f2ca097ff3f9651cd1347f2793d69547c9e4,1,34,2,2,2,5,1.862931196373006e-05,7.072143312870951,False,-0.43572418139543007,0.04250967623370049,False
2-鼓包谱图类型,A4-CO2赶上鼓包.CSV,3ba42b724c1cde4506bec966d7fb107137f245c0b0b9ae9310fdb6c8551dcc87,6,32,3,2,3,6,4.646398003510688e-05,17.63886537164717,False,0.7575356599176702,0.10488654992907098,True
2-鼓包谱图类型,A5-鼓包干扰.CSV,a19298aac5e0604387b534fbdd1a069215f416f03a53b700e8b7f726f36c2df8,0,9,0,1,0,4,5.325707909752467e-05,20.21769223339503,True,-2.0615158316012923,0.2569027784169542,True
2-鼓包谱图类型,A7-小鼓包干扰.CSV,cf3957533ed55d4e6e71a85df248b0f50942de6611541d16641242d2cd93ebef,2,21,2,0,2,4,2.764906127190985e-05,10.496261169601711,False,-0.9004737957575435,0.07898892945241609,True
2-鼓包谱图类型,A8-C2H2赶上鼓包.CSV,335644a38a5e7469885e7c79b7c628fa3d69354b138e6e048197199b7d769e7c,4,2,1,0,1,2,2.3570489341803247e-06,0.8947935323874061,False,7.7889298060222805,0.04197300083014107,False
2-鼓包谱图类型,A9-C2H4赶上鼓包.CSV,b1d50ea218f509f3057d2e10104d1fdaf53ccc4d9617b85909e6819033a981f8,4,8,0,1,0,3,2.6057696779493435e-05,9.892140213589249,False,17.981698175595174,0.7766957212813395,True
3-噪音谱图类型,B1-噪音干扰1.CSV,2135e8cecbca875234fab48f9175979e242b7125e1d08b8d0fc140658e9eaa5e,3,25,2,0,2,4,3.405940295818213e-05,12.929783952303087,False,8.256991309978805,0.09060673303850547,True
3-噪音谱图类型,B10-1噪音、波动比较多，识别成C2H2.CSV,ab5fa41fb647ab53c648ef18c6943b623d47cc969e23799accf7807011a92ba4,3,10,3,0,3,6,0.00010337419541222984,39.24337765298961,True,0.09497442231858452,0.0009422368755013383,False
3-噪音谱图类型,B11-噪音、波动比较多，识别成C2H2.CSV,b52cc47d4afd2aae132e0547efbdf85c8de0bb3e9a1544178ba5483d91f2c2e0,0,13,2,1,2,7,8.014671654371739e-05,30.425657509882882,True,-92.66523114195915,0.5376260768411062,True
3-噪音谱图类型,B12-噪音波动多.CSV,11d4e687b3c409fcf7be5bee419eb879c2b3256ef6440e0f484beea72f3f3b2b,2,31,2,13,2,11,0.00019079759857812688,72.43144371210381,True,44.55695674615014,0.07754091056835473,True
3-噪音谱图类型,B13-通道1噪音波动多.CSV,e1f643f5984d7842c4e77af98d63a0cd9e60604c026a301a4a9b5873520aea9a,0,14,0,1,0,9,6.799358502615568e-05,25.81203098627851,True,5.540230593523379,0.04131417234075343,False
3-噪音谱图类型,B2-噪音干扰2.CSV,b20fc47e884a00f71a82ead30865fea4589196b96c5b56847716f9538a707976,4,1,0,0,0,2,1.1852818830898517e-06,0.44996204689046376,False,2.710972336970495,0.007605050309241011,False
3-噪音谱图类型,B3-噪音干扰3 .CSV,eab00636535471362a59cb65727c0d27c1bd67ee6a64064da7b5d023df8b315d,4,24,0,1,0,2,2.699244688217689e-05,10.246994257623122,False,-2.349334028057835,0.02990496509626782,False
3-噪音谱图类型,B4-噪音122.CSV,ee8e35bc30f914afd186e53933be819bf9d813622df5e86937c3eb3fa043f1cf,1,51,5,18,5,5,0.0002790059018271434,105.91747707591034,True,17.748440955495823,0.13409218008080856,True
3-噪音谱图类型,B5-噪音大-通道1.CSV,8eab2b727a1c7e0dda1cd87fb615f9988fa3f11020d595ab3da8dc398644378b,8,28,4,3,4,10,3.776551291815778e-05,14.33671410738533,False,1.7762145134245355,0.014700111595003828,False
3-噪音谱图类型,B6-噪音大-通道111.CSV,d52c7a525d02cd0b4084bcdae384de47a2b89ce745f41eaa7984b24c77543d39,8,23,2,1,2,9,2.620620754513883e-05,9.948518539326304,False,0.5826596673320787,0.005073223138689813,False
3-噪音谱图类型,B7-噪音谱图11.CSV,9a5667e2cf30eb5bfe8b8251193e8d17c11847b9f71512119ac7530cfcb53a8d,2,2,0,0,0,1,1.0779616194736431e-06,0.4092206450530473,False,-2.12620824854595,0.0029637694220003103,False
3-噪音谱图类型,B8-4300通道1噪音.CSV,abe947043318f67e58dded6e48f67f5f319409258aaac11573ac4ff76ce07f13,3,7,0,1,0,4,2.1473014153266573e-06,0.815168234591103,False,0.5255843574981135,0.003001623869151172,False
3-噪音谱图类型,B9-噪音大.CSV,3fb85915e6608db9fe4ceba38021268625fe4597f475e612de56f88b0d86a6a1,3,2,0,0,0,1,1.1841219641676809e-05,4.495217132450305,False,-27.225594876324006,0.2133954323568504,True
4-负峰类型,112026-1-20_11_46_56.CSV,71ce4155d781e1772f995f512cbceee72b55d675f5de79e3e31bec88f68a7f59,4,2,0,0,0,2,9.161658907999274e-06,3.477990218165767,False,4.095220197494183,0.014969551093713953,False
4-负峰类型,2026-1-20_11_46_56.CSV,8b105b65c8858016d34f9e3edc5794814d23f95a61373c6e64aebfb14e1da1e9,4,3,0,1,0,2,2.412237948408352e-05,9.157446345363518,False,0.030814751149601256,0.0011736961783054957,False
4-负峰类型,F1-H2负峰-处理.CSV,0e0424a5f13042a70f4916a0a71fc92222bde862636f50f7f063b9c1069fb88f,5,3,0,1,0,1,6.5066404712088026e-06,2.470080161162392,False,-1.2257347135387613,0.018990450469773927,False
4-负峰类型,F2-CO2负峰1.CSV,9a224bfc5eff120a8aeba8b83d23e97d328994e1a9a20627306feb454575def4,1,16,0,1,0,5,1.2698386096032677e-05,4.820618522474394,False,-2.687461416595427,0.2443146742359479,True
4-负峰类型,F3-CO2负峰2.CSV,43dcb7212e8e077215b562d8c43a9cb959a501d569af03dda720a62ff3a5ba37,2,21,1,1,1,5,1.0172639080432842e-05,3.861783064613415,False,-0.5679503603930637,0.07366411937653225,True
